Weight Vectors,Counts
"[0.5300000000000002, -0.5318170099999991, -0.3472195779999995, -0.41828866, -0.15047751600000012]",246
"[0.5200000000000002, -0.5239480099999991, -0.44288257799999947, -0.38042166, -0.07544351600000011]",183
"[0.5100000000000002, -0.5223372099999991, -0.37825857799999946, -0.46399466, -0.06022751600000011]",58
"[0.5200000000000002, -0.5661102099999991, -0.4334255779999995, -0.35460466, -0.06430951600000011]",12
"[0.5300000000000002, -0.5516092099999991, -0.39735857799999946, -0.39516166, -0.0802755160000001]",116
"[0.5400000000000003, -0.5314322099999991, -0.37937657799999946, -0.42474266000000005, -0.0781765160000001]",40
"[0.5300000000000002, -0.534724209999999, -0.3348245779999995, -0.47046066000000003, -0.0682885160000001]",1
"[0.5400000000000003, -0.582055209999999, -0.39661357799999947, -0.35658066000000005, -0.0790295160000001]",8
"[0.5500000000000003, -0.567159209999999, -0.3623255779999995, -0.39688966000000003, -0.0932885160000001]",3
"[0.5400000000000003, -0.570451609999999, -0.3177735779999995, -0.44260766, -0.08340051600000009]",51
"[0.5500000000000003, -0.601874609999999, -0.4481385779999995, -0.28583466, -0.09001701600000009]",35
"[0.5600000000000003, -0.589302609999999, -0.3994075779999995, -0.33869566, -0.1487580160000001]",11
"[0.5700000000000003, -0.571427609999999, -0.3516075779999995, -0.39005766000000003, -0.1811200160000001]",20
"[0.5600000000000003, -0.5766226099999989, -0.31897457799999945, -0.42095266000000003, -0.1712710160000001]",18
"[0.5500000000000003, -0.5818176099999989, -0.28634157799999943, -0.45184766000000004, -0.1614220160000001]",4
"[0.5600000000000003, -0.6141226099999989, -0.35847657799999944, -0.33541466000000003, -0.17088331600000012]",6
"[0.5500000000000003, -0.6193173099999989, -0.3258435779999994, -0.36630966000000004, -0.16103411600000012]",7
"[0.5400000000000003, -0.6245123099999988, -0.2932105779999994, -0.39720466000000004, -0.15118511600000012]",17
"[0.5300000000000002, -0.5980333099999988, -0.39458457799999935, -0.38389466000000005, -0.09647811600000011]",66
"[0.5400000000000003, -0.5760903099999988, -0.34908157799999934, -0.4336546600000001, -0.12373211600000011]",59
"[0.5300000000000002, -0.5682213099999988, -0.44474457799999934, -0.3957876600000001, -0.04869811600000011]",9
"[0.5400000000000003, -0.5443043099999988, -0.3991795779999993, -0.4456756600000001, -0.07768511600000011]",81
